label,,,1,2,3,4,5,6,7,8,9,,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,,28,29,30,31,32,33,34,35,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:20 PM,,,Focusing (Lauren Lee),,,,,,,,,,Socratic Ducking & Pair Debugging (Dan),,,,,,,,,,Taste & SREP (Qiaochu & Anna),,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,PC,PF,PI,PL,PO,PR,PU,PX,P1,,,,,,,,,,
,,,PA,PD,PG,PJ,PM,PP,PS,PV,PY,,PB,PE,PH,PK,PN,PQ,PT,PW,PZ,,P4,P7,P0,,,,,,,,,,,,,,,,
,,,P2,P5,P8,,,,,,,,P3,P6,P9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:30 PM,,,Break,,,,,,,,,,Break,,,,,,,,,,Break,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:50 PM,,,Focusing (Lauren Lee),,,,,,,,,,Socratic Ducking & Pair Debugging (Dan),,,,,,,,,,Taste & SREP (Qiaochu & Anna),,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,Understudy: Eric Rogstad,,,,,,,,,,,,,,,,,,
,,,PC,PF,PI,PL,PO,PR,PU,PX,P1,,PA,PD,PG,PJ,PM,PP,PS,PV,PY,,PB,PE,PH,PK,PN,PQ,PT,PW,PZ,,,,,,,,,,
,,,P4,P7,P0,,,,,,,,P2,P5,P8,,,,,,,,P3,P6,P9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00 PM,,,Break,,,,,,,,,,Break,,,,,,,,,,Break,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:20 PM,,,Focusing (Lauren Lee),,,,,,,,,,Socratic Ducking & Pair Debugging (Dan),,,,,,,,,,Taste & SREP (Qiaochu & Anna),,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,Understudy: Eric Rogstad,,,,,,,,,,,,,,,,,,
,,,PB,PE,PH,PK,PN,PQ,PT,PW,PZ,,PC,PF,PI,PL,PO,PR,PU,PX,P1,,PA,PD,PG,PJ,PM,PP,PS,PV,PY,,,,,,,,,,
,,,P3,P6,P9,,,,,,,,P4,P7,P0,,,,,,,,P2,P5,P8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:30 PM,,,Dinner,,,,,,,,,,Dinner,,,,,,,,,,Dinner,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:30 AM,,,CoZE Lab (Tsvi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8:10,,Logistics and Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8:20,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,Regather and debrief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 AM,,,Internal Double Crux (Anna),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:20 AM,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:40 AM,,,Tutoring Wheel (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10:40,,Meet upstairs for intro (15m),,,,,,,,,TAPs,,,Rogsy (lead) and Adam,,,,,,,,,,,,,,,,,,,,,,,,
,,,10:55,,Meet in home base for tips (16m),,,,,,,,,Factoring,,,Tsvi (lead) and Ben S,,,,,,,,,,,,,,,,,,,,,,,,
,,,11:11,,"Go to a place, meet a partner, tutor (17m)",,,,,,,,,Murphyjitsu,,,Qiaochu (lead) and Eric C,,,,,,,,,,,,,,,,,,,,,,,,
,,,11:28,,"Switch partners in place, tutor (15m)",,,,,,,,,IDC,,,Eli (lead) and Lauren,,,,,,,,,,,,,,,,,,,,,,,,
,,,11:43,,Return to home base for debrief (11m),,,,,,,,,Systemization,,,Vaniver (lead) and Davis,,,,,,,,,,,,,,,,,,,,,,,,
,,,11:54,,"Go to a place, meet a partner, tutor (15m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:09,,BREAK (15m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:24,,"Return to place, new partner, tutor (15m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:39,,Return to home base for debrief (10m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:49,,"Go to a place, meet a partner, tutor (15m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1:04,,"Switch partners in place, tutor (14m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1:18,,Return to home base for debrief (7m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:25 AM,,,Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:25 AM,,,Tutoring Wheel (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2:32,,"Go to a place, meet a partner, tutor (14m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2:46,,"Return to place, new partner, tutor (14m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3:00,,Return to home base for debrief (7m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3:07,,Go upstairs for group debrief (8m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:20 PM,,,Executing Intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:20 PM,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:40 PM,,,Resolve Cycles (Davis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:30 PM,,,Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:50 PM,,,Hamming Questions (Tsvi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00 PM,,,Dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 PM,,,Hamming Circles (Duncan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PB,PC,PD,PE,PF,PG,PH,P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PI,PJ,PK,PL,PM,PN,PO,PP,P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PQ,PR,PS,PT,PU,PV,PW,PX,P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PY,PZ,P1,P2,P3,P4,P5,P6,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8:00,,"Orientation, groups find places",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8:15,,Persons 1 and 2 go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,Persons 3 and 4 go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:45,,Return upstairs for optional debrief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,,,(going forward),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 AM,,,Resolve (Duncan),,,,,,,,,,Build Traction (Anna),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Understudy: ,,,,,,,,,,Understudy: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PA,PJ,PC,PL,PE,PN,PG,PP,P7,,PB,PI,PD,PK,PR,PY,PF,PM,PT,,,,,,,,,,,,,,,,,,,,
,,,PQ,PZ,PS,P2,PU,P4,PW,P6,P9,,P1,PH,PO,PV,P3,P8,PX,P5,P0,,,,,,,,,,,,,,,,,,,,
